"Name","Rating","Number Of Ratings","Address","Phone Number","Website","Website to Book","Website to Search","Extra Information..."
"Bemidji Area Chamber of Commerce","4.8","9","102 1st St W Suite 105, Bemidji, MN 56601 | Located in: Paul Bunyan Park","(218) 444-3541","http://www.bemidji.org/","N/A","N/A","N/A"
"North Country Business Products","1.7","3","1112 Railroad St SE #4, Bemidji, MN 56601","(800) 937-4140","http://www.ncbpinc.com/","N/A","N/A","N/A"
"Minnesota Limited, LLC","5.0","3","1300 30th St SE, Bemidji, MN 56601","(218) 755-9595","http://mnlimited.com/","N/A","N/A","N/A"
"TEAM Industries","5.0","2","102 2nd St NW, Bemidji, MN 56601","N/A","http://team-ind.com/","N/A","N/A","N/A"
"Northwest Small Business Development Center","4.5","2","201 3rd St NW, Bemidji, MN 56601","(218) 755-4255","http://www.nwsbdc.org/","N/A","N/A","N/A"
"Construction Engineers","5.0","3","208 4th St NW, Bemidji, MN 56601","(218) 210-7008","http://constructionengineers.com/","N/A","N/A","N/A"
"LEER Title Services","4.5","8","2300 24th St NW #104, Bemidji, MN 56601","(218) 333-6968","https://www.leertitle.com/","N/A","N/A","N/A"
"Widseth | Bemidji","5.0","1","315 5th St NW suite 2, Bemidji, MN 56601","(218) 444-1859","http://www.widseth.com/","N/A","N/A","N/A"
"Bemidji Glass Company","5.0","1","987 Industrial Park Dr SE, Bemidji, MN 56601","(218) 766-9223","https://bemidjiglasscompany.com/","N/A","N/A","N/A"
"Kraus-Anderson Construction Company","5.0","1","206 Beltrami Ave NW, Bemidji, MN 56601 | Located in: Driver and Vehicle Services Exam Station","(218) 759-0596","https://www.krausanderson.com/","N/A","N/A","N/A"
"The UPS Store","4.6","74","215 Paul Bunyan Dr NW, Bemidji, MN 56601","(218) 751-7179","https://locations.theupsstore.com/mn/bemidji/215-paul-bunyan-dr-nw?utm_source=Yext&utm_medium=organic&utm_campaign=Listings","N/A","N/A","N/A"
"Bruestle Construction Consulting","5.0","1","2301 Johanneson Dr NW, Bemidji, MN 56601","(218) 444-6171","N/A","N/A","N/A","N/A"
"myBemidji","3.7","3","317 Beltrami Ave NW, Bemidji, MN 56601","(218) 751-0106","https://mybemidji.com/","N/A","N/A","LGBTQ+ friendly"
"Sathre Title Inc.","4.7","21","619 5th St NW, Bemidji, MN 56601","(218) 751-4565","https://www.sathretitle.com/","N/A","N/A","N/A"
"The Idea Circle","4.5","2","4111 Technology Dr NW #290, Bemidji, MN 56601 | Located in: Beltrami Electric Cooperative, Inc.","(218) 333-8800","http://www.theideacircle.com/","N/A","N/A","N/A"
"Houston Engineering, Inc.","N/A","N/A","102 1st St W, Bemidji, MN 56601 | Located in: Bemidji Area Chamber of Commerce","(763) 493-6672","http://www.houstoneng.com/","N/A","N/A","N/A"
