zip,primary_city,acceptable_cities,state,county
00501,Holtsville,,NY,Suffolk County
00544,Holtsville,,NY,Suffolk County
01001,Agawam,,MA,Hampden County
01002,Amherst,"Cushman, Pelham",MA,Hampshire County
01003,Amherst,,MA,Hampshire County
01004,Amherst,,MA,Hampshire County
01005,Barre,,MA,Worcester County
01007,Belchertown,,MA,Hampshire County
01008,Blandford,,MA,Hampden County
01009,Bondsville,,MA,Hampden County
01010,Brimfield,,MA,Hampden County
01011,Chester,,MA,Hampden County
01012,Chesterfield,,MA,Hampshire County
01013,Chicopee,Willimansett,MA,Hampden County
01014,Chicopee,,MA,Hampden County
01020,Chicopee,,MA,Hampden County
01021,Chicopee,,MA,Hampden County
01022,Chicopee,Westover AFB,MA,Hampden County
01026,Cummington,,MA,Hampshire County
01027,Easthampton,"E Hampton, Mount Tom, Westhampton",MA,Hampshire County
01028,East Longmeadow,E Longmeadow,MA,Hampden County
01029,East Otis,,MA,Berkshire County
01030,Feeding Hills,,MA,Hampden County
01031,Gilbertville,,MA,Worcester County
01032,Goshen,,MA,Hampshire County
01033,Granby,,MA,Hampshire County
01034,Granville,Tolland,MA,Hampden County
01035,Hadley,,MA,Hampshire County
01036,Hampden,,MA,Hampden County
01037,Hardwick,,MA,Worcester County
01038,Hatfield,,MA,Hampshire County
01039,Haydenville,West Whately,MA,Hampshire County
01040,Holyoke,,MA,Hampden County
01041,Holyoke,,MA,Hampden County
01050,Huntington,Montgomery,MA,Hampshire County
01053,Leeds,,MA,Hampshire County
01054,Leverett,,MA,Franklin County
01056,Ludlow,,MA,Hampden County
01057,Monson,,MA,Hampden County
01059,North Amherst,Amherst,MA,Hampshire County
01060,Northampton,,MA,Hampshire County
01061,Northampton,,MA,Hampshire County
01062,Florence,"Bay State Village, Bay State Vlg, Northampton",MA,Hampshire County
01063,Northampton,,MA,Hampshire County
01066,North Hatfield,N Hatfield,MA,Hampshire County
01068,Oakham,,MA,Worcester County
01069,Palmer,,MA,Hampden County
01070,Plainfield,,MA,Hampshire County
01071,Russell,,MA,Hampden County
01072,Shutesbury,,MA,Franklin County
01073,Southampton,,MA,Hampshire County
01074,South Barre,,MA,Worcester County
01075,South Hadley,,MA,Hampshire County
01077,Southwick,,MA,Hampden County
01079,Thorndike,,MA,Hampden County
01080,Three Rivers,,MA,Hampden County
01081,Wales,,MA,Hampden County
01082,Ware,Hardwick,MA,Hampshire County
01083,Warren,,MA,Worcester County
01084,West Chesterfield,W Chesterfld,MA,Hampshire County
01085,Westfield,Montgomery,MA,Hampden County
01086,Westfield,,MA,Hampden County
01088,West Hatfield,W Hatfield,MA,Hampshire County
01089,West Springfield,W Springfield,MA,Hampden County
01090,West Springfield,W Springfield,MA,Hampden County
01092,West Warren,,MA,Worcester County
01093,Whately,,MA,Franklin County
01094,Wheelwright,,MA,Worcester County
01095,Wilbraham,,MA,Hampden County
01096,Williamsburg,,MA,Hampshire County
01097,Woronoco,,MA,Hampden County
01098,Worthington,,MA,Hampshire County
01101,Springfield,,MA,Hampden County
01102,Springfield,,MA,Hampden County
01103,Springfield,,MA,Hampden County
01104,Springfield,,MA,Hampden County
01105,Springfield,,MA,Hampden County
01106,Longmeadow,Springfield,MA,Hampden County
01107,Springfield,,MA,Hampden County
01108,Springfield,,MA,Hampden County
01109,Springfield,,MA,Hampden County
01111,Springfield,,MA,Hampden County
01115,Springfield,,MA,Hampden County
01116,Longmeadow,"E Longmeadow, East Longmeadow",MA,Hampden County
01118,Springfield,,MA,Hampden County
01119,Springfield,,MA,Hampden County
01128,Springfield,,MA,Hampden County
01129,Springfield,,MA,Hampden County
01133,Springfield,,MA,Hampden County
01138,Springfield,,MA,Hampden County
01139,Springfield,,MA,Hampden County
01144,Springfield,,MA,Hampden County
01151,Indian Orchard,"Indian Orch, Springfield",MA,Hampden County
01152,Springfield,,MA,Hampden County
01195,Springfield,Springfield Bmc,MA,Hampden County
01199,Springfield,,MA,Hampden County
01201,Pittsfield,,MA,Berkshire County
01202,Pittsfield,,MA,Berkshire County
01203,Pittsfield,,MA,Berkshire County
01220,Adams,,MA,Berkshire County
01222,Ashley Falls,,MA,Berkshire County
01223,Becket,Washington,MA,Berkshire County
01224,Berkshire,Lanesborough,MA,Berkshire County
01225,Cheshire,,MA,Berkshire County
01226,Dalton,,MA,Berkshire County
01227,Dalton,,MA,Berkshire County
01229,Glendale,,MA,Berkshire County
01230,Great Barrington,"Egremont, Gt Barrington, N Egremont, New Marlboro, New Marlborou, New Marlborough, North Egremont, Simons Rock",MA,Berkshire County
01235,Hinsdale,Peru,MA,Berkshire County
01236,Housatonic,,MA,Berkshire County
01237,Lanesborough,"Hancock, New Ashford",MA,Berkshire County
01238,Lee,,MA,Berkshire County
01240,Lenox,,MA,Berkshire County
01242,Lenox Dale,,MA,Berkshire County
01243,Middlefield,,MA,Hampshire County
01244,Mill River,,MA,Berkshire County
01245,Monterey,West Otis,MA,Berkshire County
01247,North Adams,"Clarksburg, Florida",MA,Berkshire County
01252,North Egremont,N Egremont,MA,Berkshire County
01253,Otis,,MA,Berkshire County
01254,Richmond,,MA,Berkshire County
01255,Sandisfield,,MA,Berkshire County
01256,Savoy,,MA,Berkshire County
01257,Sheffield,,MA,Berkshire County
01258,South Egremont,"Mount Washington, Mt Washington, S Egremont",MA,Berkshire County
01259,Southfield,,MA,Berkshire County
