Name,Rating,Number Of Ratings,Address,Phone Number,Website,Website to Book,Website to Search,Extra Information...,,,
Baskin-Robbins,3,2,"100 Paul Bunyan Dr S, Bemidji, MN 56601",(218) 398-2282,https://locations.baskinrobbins.com/mn/bemidji/100-paul-bunyan-dr-s?utm_source=google&utm_medium=organic&utm_campaign=Yext,N/A,N/A,N/A,,,
Dairy Queen,4.4,328,"700 Paul Bunyan Dr S, Bemidji, MN 56601",(218) 444-2108,http://www.dairyqueen.com/,N/A,N/A,N/A,,,
Big River Scoop Ice Cream,4.7,277,"219 Bemidji Ave N, Bemidji, MN 56601",(218) 444-3898,http://www.bigriverscoop.com/,N/A,N/A,N/A,,,
Culver’s,4.2,"1,408","2200 Paul Bunyan Dr NW, Bemidji, MN 56601",(218) 444-4488,http://www.culvers.com/restaurants/bemidji-mn-paul-bunyan?utm_source=Google&utm_medium=Maps&utm_campaign=Google+Places,N/A,N/A,LGBTQ+ friendly,,,
Cherry Berry & Rocky Mountain Chocolate Factory North - Bemidji,4.3,132,"1008 Paul Bunyan Dr NW, Bemidji, MN 56601 | Located in: Simonson Center",(218) 444-8500,http://www.facebook.com/cbbemidji,N/A,N/A,N/A,,,
Dairy Queen Grill & Chill,4.3,92,"1401 Paul Bunyan Dr NW, Bemidji, MN 56601",(218) 751-0977,https://www.dairyqueen.com/us-en/Locator/Detail/?localechange=1&store-id=558&y_source=1_ODk5NTUxMS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,N/A,N/A,N/A,,,
"Small Business Lender Minneapolis, MN",N/A,N/A,"220 South 6th St, Minneapolis, MN 55402 | Floor 1 · U.S. Bank Branch",(612) 260-5615,N/A,N/A,N/A,N/A,,,
Invoice Factoring Minneapolis MN,N/A,N/A,"2909 Bryant Ave S, Minneapolis, MN 55408 | Floor 1 · Soo Visual Arts Center",(612) 445-2166,N/A,N/A,N/A,N/A,,,
Small Business,N/A,N/A,N/A,N/A,http://www.donotlist.com/,N/A,N/A,N/A,,,
Minnesota Business Partnership,4,1,"80 S 8th St, Minneapolis, MN 55402 | Floor 1 · IDS Center",(612) 370-0840,https://mnbp.com/,N/A,N/A,N/A,,,
"Holla-Black, LLC.",N/A,N/A,"1707 3rd Ave S #803, Minneapolis, MN 55404",(612) 434-6880,N/A,https://holla-black.com/,N/A,N/A,,,
Minneapolis/St. Paul Business Journal Leadership Trust,N/A,N/A,"100 S 5th St Suite 1800 Suite 1800, Minneapolis, MN 55402",(800) 208-7250,https://trust.bizjournals.com/markets/twincities,N/A,N/A,N/A,,,
U.S. Small Business Administration - Minneapolis,5,2,"330 2nd Ave S #430, Minneapolis, MN 55401 | Floor 1 · LexisNexis",(612) 370-2324,N/A,N/A,N/A,N/A,,,
DDP Business Solutions INC,N/A,N/A,"920 2nd Ave S Suite 1150, Minneapolis, MN 55402",(833) 333-2002,N/A,N/A,N/A,N/A,,,
Old North Collective,5,2,"331 2nd Ave S #461, Minneapolis, MN 55401 | Floor 1 · Expansive TriTech Center",(612) 444-7752,N/A,N/A,N/A,Identifies as veteran-owned,,,
Small Business Development Center,4.5,6,"Terrence Murphy Hall, 1000 La Salle Ave, Minneapolis, MN 55403 | Located in: University of St. Thomas - Opus College of Business",(651) 962-4500,N/A,N/A,N/A,N/A,,,
Bedore Business Group,5,5,"Capella Tower, 225 South 6th St Suite 3900, Minneapolis, MN 55402 | Floor 1 · Capella Tower",(651) 605-6016,N/A,N/A,N/A,N/A,,,
Cyber Consulting Group Brand,N/A,N/A,"729 N Washington Ave #600, Minneapolis, MN 55401 | Floor 1 · The Nordic",(612) 431-9545,http://ccgbrand.com/,N/A,N/A,N/A,,,
Opportunities In Business,4.9,85,"615 1st Ave NE, Minneapolis, MN 55413",(612) 331-8392,https://www.oibmn.com/,N/A,N/A,N/A,,,
Twin Cities Business,5,2,"953 Westgate Dr Suite 107, St Paul, MN 55114",(612) 339-7571,http://tcbmag.com/,N/A,N/A,N/A,,,
